ID,Date,S&P Change (close - open),S&P Open,S&P High,S&P Low,S&P Close,NYC Temp (high),NYC Temp (avg),NYC Temp (low),Avg Visibility (mi),NYC Wind (avg),NYC Wind (low),NYC Wind (high),NYC Precip (in),NYC Wx Events
179,8/7/17,3.77,2477.139893,2480.949951,2475.879883,2480.909912,71,68,64,4,9,3,18,0.76,Rain
180,8/8/17,-3.43,2478.350098,2490.870117,2470.320068,2474.919922,78,72,65,8,9,3,15,0,
181,8/9/17,8.67,2465.350098,2474.409912,2462.080078,2474.02002,85,75,64,10,8,1,14,0,
182,8/10/17,-27.17,2465.379883,2465.379883,2437.75,2438.209961,83,76,68,10,9,2,16,0,
183,8/11/17,0.28,2441.040039,2448.090088,2437.850098,2441.320068,82,76,69,10,12,3,18,0,
184,8/14/17,10.88,2454.959961,2468.219971,2454.959961,2465.840088,80,75,70,10,9,2,13,0,
185,8/15/17,-4.05,2468.659912,2468.899902,2461.610107,2464.610107,74,71,68,4,8,1,13,0.45,Rain
186,8/16/17,-0.52,2468.629883,2474.929932,2463.860107,2468.110107,87,79,70,7,10,2,15,0,
187,8/17/17,-32.94,2462.949951,2465.02002,2430.01001,2430.01001,83,76,69,10,10,3,16,0,
188,8/18/17,-2.09,2427.639893,2440.27002,2420.689941,2425.550049,82,78,73,5,10,3,19,0.88,"Fog , Rain"
189,8/21/17,2.87,2425.5,2430.580078,2417.350098,2428.370117,87,79,71,10,12,3,19,0,
190,8/22/17,18.76,2433.75,2454.77002,2433.669922,2452.51001,89,81,72,8,14,5,25,0.3,Rain
191,8/23/17,-0.84,2444.879883,2448.909912,2441.419922,2444.040039,81,76,70,8,10,4,20,0,Rain
192,8/24/17,-8.94,2447.909912,2450.389893,2436.189941,2438.969971,80,73,65,10,10,3,15,0,
193,8/25/17,-1.67,2444.719971,2453.959961,2442.219971,2443.050049,78,71,63,10,9,2,15,0,
194,8/28/17,-3.11,2447.350098,2449.120117,2439.030029,2444.23999,76,70,63,10,16,6,22,0,
195,8/29/17,14.36,2431.939941,2449.189941,2428.199951,2446.300049,68,66,64,9,15,8,21,0.1,Rain
196,8/30/17,11.53,2446.060059,2460.310059,2443.77002,2457.590088,78,69,60,10,13,5,18,0.01,Rain
