date,accum,temp_min,temp_max,wind
9/10/2014,0,60.13,67.53,6.37
9/11/2014,0,62.82,78.17,9.61
9/12/2014,0,58.18,68.69,5.93
9/15/2014,0,47.88,63.87,1.88
9/16/2014,0,52.59,64.09,2.49
9/17/2014,0,53.19,66.78,1.36
9/18/2014,0,54.28,71.2,4.9
9/19/2014,0,46.8,56.86,6.25
9/22/2014,0,55.13,71.58,12.88
9/23/2014,0,49.42,70.43,5.94
9/24/2014,0,53.86,63.65,5.53
9/25/2014,0,54.08,60.75,6.06
9/26/2014,0,54.74,67.33,4.41
9/29/2014,0,57.69,71.66,3.86
9/30/2014,0,55.87,57.5,8.93
10/1/2014,0,56.94,57.64,13.13
10/2/2014,0,52.24,56.77,12.11
10/3/2014,0,49.32,55.92,7.14
10/6/2014,0,44.3,64.91,5.86
10/7/2014,0,55.36,72.14,11.92
10/8/2014,0,60.46,71.53,9.93
10/9/2014,0,50.69,65.39,10.71
10/10/2014,0,50.01,62.78,8.99
10/14/2014,0,59.63,75.8,9.67
10/15/2014,0,62.95,78.58,8.96
10/16/2014,0,62.62,70.31,9.01
10/17/2014,0,59.97,71.42,8.86
10/20/2014,0,38.92,56.49,8.88
10/21/2014,0,49.99,60.05,3.81
10/22/2014,0,50.85,54.95,18.85
10/23/2014,0,50.46,54.55,20.63
10/24/2014,0,48.12,52.88,10.94
10/27/2014,0,45.87,62.13,10.47
10/28/2014,0,45.74,60.71,2.79
10/29/2014,0,53.28,72.09,4.64
10/30/2014,0,46.62,57.53,7.45
10/31/2014,0,45.35,51.19,8.54
11/3/2014,0,35.9,52.08,14.07
11/4/2014,0,44.8,56.18,4.27
11/5/2014,0,49.48,65.3,7.36
11/6/2014,0,47.77,50.66,2.15
11/7/2014,0,39.9,48.95,13.54
11/10/2014,0,39.86,57.77,3.12
11/12/2014,0,47.62,58.26,1.35
11/13/2014,0,38.97,48,4.64
11/14/2014,0,34.01,42.57,9.75
11/17/2014,0,37.35,47.01,0.41
11/18/2014,0,27.76,43.61,14.32
11/19/2014,0,24.15,36.44,12.37
11/20/2014,0,31.44,47.47,10.97
11/21/2014,0,27.87,35.7,14.16
11/24/2014,0,44.19,65.06,12.51
11/25/2014,0,48.53,61.95,9.91
11/26/2014,0,34.08,48.76,10.06
11/28/2014,0.456,27.13,33.93,10.16
12/1/2014,0,41.38,62.05,8.18
12/2/2014,0,33.51,40.03,8.93
12/3/2014,0,36.88,51.07,6.27
12/4/2014,0,30.31,43.09,8.1
12/5/2014,0,26.4,40.47,4.5
12/8/2014,0,19.59,27.51,10.77
12/9/2014,0,29.35,48.99,15.43
12/10/2014,0,38.2,47.62,9.47
12/11/2014,0,32.35,38.59,11.35
12/12/2014,0,31.27,38.12,8.73
12/15/2014,0,32.1,40.18,3.46
12/16/2014,0,35.49,43.6,0.99
12/17/2014,0,42.05,47.34,7.94
12/18/2014,0,36.35,43.09,13.03
12/19/2014,0,29.04,37.2,9.97
1/15/2015,0.506,25.14,29.97,7.59
1/16/2015,0,17.08,37.23,12.87
1/20/2015,0,28.58,37.3,12.86
1/21/2015,0,21.91,32.06,4.41
1/22/2015,0,29.6,36.07,4.38
1/23/2015,0,23.56,36.74,8.37
1/26/2015,0.787,12.34,27.37,12.36
1/27/2015,10.809,14.73,19.46,21.98
1/28/2015,0.093,13.42,24,12.41
1/29/2015,0,12.69,30.89,1.35
1/30/2015,0.253,20.64,33.49,4.91
2/2/2015,7.05,11.58,28.64,12.06
2/3/2015,0.07,7.04,22.24,10.8
2/4/2015,0.08,14.31,38.19,9.84
2/5/2015,0.359,9.33,36.56,11.47
2/6/2015,0,4.59,20.85,9.23
2/9/2015,11.49,15.75,21.59,14.13
2/10/2015,6.073,15.72,30.64,12
2/11/2015,0,18.7,25.35,11.05
2/12/2015,0.19,16.43,28.87,4.17
2/13/2015,0,5.89,22.5,14.83
2/17/2015,0.135,10.48,23.65,7.08
2/18/2015,0.036,18.4,27.98,4.07
2/19/2015,0.3,11.86,27.69,12.71
2/20/2015,0,5.71,18.22,17.28
2/23/2015,0,6.62,31.94,13.29
2/24/2015,0,0.97,18.43,5.09
2/25/2015,0.565,15.75,34.77,9.74
2/26/2015,0.192,18.23,22.59,7.94
2/27/2015,0,13.39,26.03,7.69
3/2/2015,0.163,26.01,35.69,13.06
3/3/2015,1.11,16.17,30.2,5.09
3/4/2015,0,32.31,42.88,10.15
3/5/2015,0.2,19.99,38.72,10.14
3/6/2015,0,9.39,24.94,3.68
3/9/2015,0,28.55,44.93,9.38
3/10/2015,0,28.88,47.22,6.47
3/11/2015,0,40.37,57.21,8.92
3/12/2015,0,28.15,43.4,15.34
3/13/2015,0,24.05,40.36,5.47
