Year,Month,Total,BPD,BFD,EMS
2012,7,2964,2303,241,420
2012,7,3072,2456,222,394
2012,7,3017,2376,235,406
2012,7,2885,2223,246,416
2012,7,2645,1998,231,416
2012,7,3001,2378,229,394
2012,7,3116,2396,272,448
2012,7,2926,2241,277,408
2012,7,3170,2464,269,437
2012,7,3163,2496,229,438
2012,7,2814,2214,211,389
2012,7,2647,2050,206,391
2012,7,2877,2255,232,390
2012,7,3130,2409,281,440
2012,7,3085,2486,224,375
2012,7,2873,2300,194,379
2012,7,3121,2453,249,419
2012,7,2869,2251,195,423
2012,7,2584,2035,190,359
2012,7,2903,2358,204,341
2012,7,2841,2260,210,371
2012,8,3018,2368,257,393
2012,8,3159,2445,257,457
2012,8,3272,2545,241,486
2012,8,3004,2349,223,432
2012,8,2719,2093,226,400
2012,8,2952,2308,244,400
2012,8,2938,2259,256,423
2012,8,3036,2360,251,425
2012,8,3098,2380,269,449
2012,8,2931,2262,260,409
2012,8,2878,2279,221,378
2012,8,2478,1974,173,331
2012,8,2867,2217,219,431
2012,8,3053,2394,249,410
2012,8,2897,2235,257,405
2012,8,3030,2373,248,409
2012,8,3125,2450,231,444
2012,8,2755,2150,223,382
2012,8,2646,2128,162,356
2012,8,2760,2146,219,395
2012,8,2851,2246,225,380
2012,8,2935,2262,258,415
2012,8,3003,2316,255,432
2012,8,3029,2352,250,427
2012,8,2962,2270,237,455
2012,8,2710,2091,216,403
2012,8,2861,2261,204,396
2012,8,2993,2335,248,410
2012,8,2936,2314,235,387
2012,8,2878,2235,247,396
2012,8,3095,2341,287,467
2012,9,3103,2424,258,421
2012,9,2642,2078,217,347
2012,9,2630,2040,229,361
2012,9,2828,2237,223,368
2012,9,2961,2240,299,422
2012,9,3198,2507,247,444
2012,9,3404,2624,288,492
2012,9,3086,2381,280,425
2012,9,2590,1974,235,381
2012,9,3028,2357,267,404
2012,9,3065,2415,248,402
2012,9,3121,2483,234,404
2012,9,3278,2576,252,450
2012,9,3306,2628,249,429
2012,9,3134,2370,278,486
2012,9,2798,2134,240,424
2012,9,2964,2310,250,404
2012,9,3118,2481,250,387
2012,9,3044,2368,285,391
2012,9,3116,2464,231,421
2012,9,3276,2633,225,418
2012,9,3084,2438,229,417
2012,9,2693,2090,234,369
2012,9,3041,2367,269,405
2012,9,3237,2588,256,393
2012,9,3160,2540,220,400
2012,9,3158,2551,214,393
2012,9,3112,2505,221,386
2012,9,2806,2236,220,350
2012,9,2672,2087,211,374
2012,10,2906,2303,219,384
2012,10,3210,2545,233,432
2012,10,3066,2420,230,416
2012,10,3086,2393,266,427
2012,10,3373,2661,245,467
2012,10,2955,2282,248,425
2012,10,2486,1906,220,360
2012,10,2486,1943,185,358
2012,10,3052,2413,257,382
2012,10,3110,2430,260,420
2012,10,3010,2358,232,420
2012,10,2805,2219,223,363
2012,10,2767,2136,217,414
2012,10,2476,1938,173,365
2012,10,3070,2447,240,383
2012,10,3197,2531,238,428
2012,10,2816,2191,243,382
2012,10,3013,2368,236,409
2012,10,3013,2289,274,450
2012,10,3020,2295,300,425
2012,10,2645,2070,189,386
2012,10,2966,2345,224,397
2012,10,2980,2384,224,372
2012,10,2922,2333,213,376
2012,10,3130,2449,252,429
2012,10,3205,2524,239,442
2012,10,3118,2449,248,421
2012,10,2791,2155,220,416
2012,10,2932,2010,583,339
2012,10,2881,2235,239,407
2012,10,3085,2489,209,387
2012,11,3128,2489,224,415
2012,11,2996,2355,237,404
2012,11,2785,2164,224,397
2012,11,2416,1826,214,376
2012,11,2592,2039,190,363
2012,11,2859,2234,244,381
2012,11,2798,2170,228,400
2012,11,2833,2238,201,394
2012,11,3081,2417,241,423
2012,11,2773,2177,223,373
2012,11,2538,1914,220,404
2012,11,2677,2124,209,344
2012,11,2921,2232,279,410
2012,11,2889,2295,216,378
2012,11,2880,2306,202,372
2012,11,3045,2404,235,406
2012,11,2822,2180,235,407
2012,11,2475,1917,207,351
2012,11,2818,2197,237,384
2012,11,2940,2350,210,380
2012,11,2828,2274,230,324
2012,11,1611,1156,187,268
2012,11,2359,1863,173,323
2012,11,2381,1922,193,266
2012,11,2225,1770,167,288
2012,11,2883,2241,240,402
2012,11,2878,2282,214,382
2012,11,2823,2277,192,354
2012,11,2890,2290,239,361
2012,11,2869,2267,207,395
2012,12,2722,2111,209,402
2012,12,2499,1900,219,380
2012,12,2983,2383,232,368
2012,12,2940,2368,209,363
2012,12,3036,2410,229,397
2012,12,2862,2234,213,415
2012,12,2863,2290,220,353
2012,12,2745,2091,252,402
2012,12,2584,2011,197,376
2012,12,2910,2238,244,428
2012,12,2911,2277,238,396
2012,12,2953,2350,208,395
2012,12,2990,2395,219,376
2012,12,3120,2505,224,391
2012,12,2729,2112,239,378
2012,12,2331,1806,191,334
2012,12,2809,2191,244,374
2012,12,3043,2416,230,397
2012,12,2880,2287,216,377
2012,12,2931,2344,209,378
2012,12,3021,2356,256,409
2012,12,2527,2020,164,343
2012,12,2243,1727,190,326
2012,12,2282,1716,209,357
2012,12,1488,989,174,325
2012,12,2345,1847,180,318
2012,12,2642,2035,220,387
2012,12,2710,2114,229,367
2012,12,2526,1902,220,404
2012,12,2148,1613,186,349
2012,12,2688,2022,264,402
2013,1,2903,2153,230,520
2013,1,2698,2101,223,374
2013,1,2771,2151,239,381
2013,1,2941,2246,251,444
2013,1,2540,1938,232,370
2013,1,2325,1783,184,358
2013,1,2879,2188,268,423
2013,1,2905,2270,230,405
2013,1,2805,2144,245,416
2013,1,2811,2156,234,421
2013,1,2855,2163,244,448
2013,1,2574,2004,201,369
2013,1,2387,1848,194,345
2013,1,2959,2293,244,422
2013,1,2791,2219,194,378
2013,1,2699,2154,196,349
2013,1,2778,2112,237,429
2013,1,2924,2330,202,392
2013,1,2622,2035,207,380
2013,1,2455,1880,207,368
2013,1,2314,1782,197,335
2013,1,2649,2050,224,375
2013,1,2699,2076,237,386
2013,1,2927,2188,318,421
2013,1,2842,2220,244,378
2013,1,2573,1985,244,344
2013,1,2393,1875,191,327
2013,1,2710,2097,256,357
2013,1,2859,2248,245,366
2013,1,2906,2213,284,409
2013,1,3112,2381,334,397
2013,2,3040,2428,233,379
2013,2,2698,2090,226,382
2013,2,2365,1848,184,333
2013,2,2687,2110,197,380
2013,2,2728,2161,200,367
2013,2,2716,2157,205,354
2013,2,2816,2271,196,349
2013,2,2564,1923,227,414
2013,2,2489,1649,308,532
2013,2,2775,1945,334,496
2013,2,2957,2266,264,427
2013,2,2863,2244,234,385
2013,2,3083,2370,254,459
2013,2,2937,2261,244,432
2013,2,2888,2248,229,411
2013,2,2561,1991,198,372
2013,2,2298,1697,222,379
2013,2,2258,1764,172,322
2013,2,2678,2066,214,398
2013,2,2419,1890,200,329
2013,2,2647,2077,205,365
2013,2,2633,2046,224,363
2013,2,2517,1953,209,355
2013,2,2111,1651,153,307
2013,2,2661,2085,226,350
2013,2,2667,2121,177,369
2013,2,2658,2051,245,362
2013,2,2752,2191,199,362
2013,3,3028,2379,235,414
2013,3,2661,2046,229,386
2013,3,2418,1829,197,392
2013,3,2674,2070,217,387
2013,3,2671,2068,216,387
2013,3,2642,2069,194,379
2013,3,2480,1916,206,358
2013,3,2666,2032,242,392
2013,3,2598,2024,183,391
2013,3,2549,1954,232,363
2013,3,2885,2277,209,399
2013,3,2771,2178,218,375
2013,3,2977,2325,240,412
2013,3,2692,2144,196,352
2013,3,2975,2353,233,389
2013,3,2843,2210,221,412
2013,3,2906,2159,242,505
2013,3,2651,2067,208,376
2013,3,2452,1908,191,353
2013,3,2859,2187,224,448
2013,3,2749,2144,216,389
2013,3,2784,2193,204,387
