patent_number,patent_title,patent_date,patent_num_claims,patent_num_combined_citations,inventor_last_name,inventor_first_name,assignee_organization
4635255,Digital subscriber controller,1987-01-06,8,4,Ibrahim,Hadi,"Advanced Micro Devices, Inc."
4635347,Method of fabricating titanium silicide gate electrodes and interconnections,1987-01-13,5,12,Wang,Hsingya Arthur,"Advanced Micro Devices, Inc."
4638300,Central processing unit having built-in BCD operation,1987-01-20,13,10,Miller,Michael J.,"Advanced Micro Devices, Inc."
4639288,Process for formation of trench in integrated circuit structure using isotropic and anisotropic etching,1987-01-27,19,2,Schlupp,Ronald L.,"Advanced Micro Devices, Inc."
4639661,Power-down arrangement for an ECL circuit,1987-01-27,20,4,Williams,Bertrand J.,"Advanced Micro Devices, Inc."
4639899,Memory circuit having a memory reset and recovery controller,1987-01-27,24,2,Lu,Guey T.,"Advanced Micro Devices, Inc."
4640010,Method of making a package utilizing a self-aligning photoexposure process,1987-02-03,15,3,Brown,Candice H.,"Advanced Micro Devices, Inc."
4641247,"Bit-sliced, dual-bus design of integrated circuits",1987-02-03,8,1,Laugesen,Ronald C.,"Advanced Micro Devices, Inc."
4641416,Method of making an integrated circuit structure with self-aligned oxidation to isolate extrinsic base from emitter,1987-02-10,10,2,Schmidt,Christopher O.,"Advanced Micro Devices, Inc."
4644409,Document resolution-adaption method and apparatus,1987-02-17,6,6,Fuchs,Peter M.,"Advanced Micro Devices, Inc."
4647799,Full and fractional swing with adjustable high level ECL gate using a single current source,1987-03-03,1,2,Wong,Thomas,"Advanced Micro Devices, Inc."
4647904,Folding-type analog-to-digital converter,1987-03-03,21,5,Kuklewicz,John C.,"Advanced Micro Devices, Inc."
4648049,Rapid graphics bit mapping circuit and method,1987-03-03,23,2,Daniel,Andrew D.,"Advanced Micro Devices, Inc."
4650544,Shallow groove capacitor fabrication method,1987-03-17,18,4,Selcuk,Asim A.,"Advanced Micro Devices, Inc."
4651110,Circuit arrangement for zero point balancing of an integrated operational amplifier,1987-03-17,14,1,Lechner,Robert,"Advanced Micro Devices, Inc."
4654824,Emitter coupled logic bipolar memory cell,1987-03-31,6,5,Ko,Wen C.,"Advanced Micro Devices, Inc."
4654825,E.sup.2 prom memory cell,1987-03-31,16,7,Rinerson,Darrell D.,"Advanced Micro Devices, Inc."
4654831,High speed CMOS current sense amplifier,1987-03-31,16,1,Venkatesh,Bhimachar,"Advanced Micro Devices, Inc."
4655874,Process for smoothing a non-planar surface,1987-04-07,9,2,Marks,Steven,"Advanced Micro Devices, Inc."
4665426,EPROM with ultraviolet radiation transparent silicon nitride passivation layer,1987-05-12,8,5,Allen,Bert L.,"Advanced Micro Devices, Inc."
4667165,High-speed full differential amplifier with common mode rejection,1987-05-19,14,2,De Weck,Lionel M.,"Advanced Micro Devices, Inc."
4667286,Method and apparatus for transferring data between a disk and a central processing unit,1987-05-19,12,1,Shebanow,Michael C.,"Advanced Micro Devices, Inc."
4667326,Method and apparatus for error detection and correction in systems comprising floppy and/or hard disk drives,1987-05-19,14,5,Shebanow,Michael C.,"Advanced Micro Devices, Inc."
4668335,Anti-corrosion treatment for patterning of metallic layers,1987-05-26,18,3,Hsu,Howard F.,"Advanced Micro Devices, Inc."
4668918,Low order charge-pump filter,1987-05-26,26,9,Adams,Neil R.,"Advanced Micro Devices, Inc."
4668919,High speed operational amplifier,1987-05-26,9,5,De Weck,Lionel M.,"Advanced Micro Devices, Inc."
4669179,Integrated circuit fabrication process for forming a bipolar transistor having extrinsic base regions,1987-06-02,9,7,Chang,Shiao-Hoo,"Advanced Micro Devices, Inc."
4669180,Method of forming emitter coupled logic bipolar memory cell using polysilicon Schottky diodes for coupling,1987-06-02,5,8,Thomas,Mammen,"Advanced Micro Devices, Inc."
