accum,min,max,wind,yesterdays_high,closed
352,0.0,50.14,58.9,8.85,65.04,0
353,0.0,49.1,59.28,6.28,58.9,0
354,0.0,52.8,64.0,6.98,59.28,0
356,0.0,52.33,60.02,4.35,62.47,0
357,0.0,54.83,70.94,6.71,60.02,0
358,0.0,55.89,68.65,9.35,70.94,0
360,0.0,49.34,67.18,6.47,66.22,0
361,0.0,45.45,52.28,5.0,67.18,0
362,0.0,42.48,53.16,11.44,52.28,0
363,0.0,39.08,49.38,9.98,53.16,0
365,0.0,35.55,46.59,2.86,59.2,0
366,0.0,39.64,52.32,4.54,46.59,0
367,0.0,41.48,63.19,8.09,52.32,0
368,0.0,60.53,69.78,18.86,63.19,0
370,0.0,32.99,47.07,2.09,40.59,0
371,0.0,42.6,59.35,10.37,47.07,0
372,0.0,45.23,66.3,9.26,59.35,0
373,0.0,36.85,48.14,12.06,66.3,0
375,0.0,26.78,36.63,10.41,49.55,0
376,0.0,30.23,50.7,10.8,36.63,0
377,0.0,39.78,60.31,8.7,50.7,0
379,0.0,33.71,50.54,15.16,65.68,0
380,0.0,29.82,41.06,9.55,50.54,0
381,0.0,30.04,47.0,3.82,41.06,0
382,0.0,42.79,46.4,3.23,47.0,0
384,0.0,32.46,41.64,6.68,33.07,0
385,0.0,40.93,61.76,6.74,41.64,0
388,0.0,35.86,47.9,7.27,40.07,0
389,0.0,34.06,44.04,6.98,47.9,0
390,0.0,36.61,54.36,5.44,44.04,0
391,0.0,37.31,55.4,5.91,54.36,0
393,0.316,27.82,36.88,9.16,41.27,0
394,0.0,24.82,31.07,12.61,36.88,0
395,0.0,18.57,26.76,9.66,31.07,0
396,0.0,18.59,30.02,11.09,26.76,0
398,3.9160000000000004,9.47,23.46,6.26,29.41,1
399,0.36,19.17,33.9,10.34,23.46,1
400,0.0,27.46,43.19,11.03,33.9,0
401,0.0,36.03,51.67,8.2,43.19,0
403,0.0,34.42,38.34,2.99,46.73,0
404,0.0,35.02,44.6,6.46,38.34,0
406,0.213,8.65,16.96,14.7,26.77,1
407,0.0,5.95,21.41,10.84,16.96,0
408,0.0,7.85,18.06,10.91,21.41,0
410,0.0,13.5,21.24,11.39,45.58,0
411,0.16,15.27,25.89,8.35,21.24,0
412,0.0,15.96,29.39,7.55,25.89,0
413,0.0,21.71,41.28,7.73,29.39,0
415,0.025,22.54,33.64,4.18,40.84,0
416,5.612,24.72,32.05,7.52,33.64,1
417,0.13699999999999998,18.73,26.62,5.44,32.05,0
418,0.0,18.44,30.19,9.82,26.62,0
420,0.0,13.31,24.59,9.41,28.26,0
421,0.0,7.71,23.94,2.09,24.59,0
422,5.257999999999999,20.34,34.98,13.61,23.94,1
423,0.0,30.68,36.28,13.66,34.98,0
425,1.555,22.83,34.9,2.11,32.27,0
426,0.0,33.18,47.69,7.29,34.9,0
427,0.0,34.52,44.14,4.87,47.69,0
429,0.0,21.45,28.83,12.14,42.1,0
430,0.0,16.52,30.13,8.82,28.83,0
431,0.31,12.5,27.53,7.17,30.13,0
432,0.0,10.25,24.08,11.45,27.53,0
434,0.0,10.7,29.31,5.33,30.2,0
435,0.042,20.08,27.58,7.81,29.31,0
436,0.0,11.32,24.69,4.4,27.58,0
437,0.0,16.91,33.04,1.55,24.69,0
439,0.0,36.57,56.94,6.17,42.3,0
440,0.0,39.24,44.56,1.97,56.94,0
441,0.852,18.93,37.88,16.74,44.56,0
442,0.0,15.68,37.52,10.69,37.88,0
444,0.0,19.48,32.2,4.64,26.65,0
445,0.0,26.78,38.66,7.06,32.2,0
446,0.0,36.53,50.31,6.14,38.66,0
447,0.0,34.68,42.66,15.73,50.31,0
449,0.0,21.48,36.72,4.44,31.19,0
450,0.012,26.23,33.83,19.79,36.72,0
451,0.0,21.2,45.27,11.03,33.83,0
452,0.0,35.45,56.53,13.28,45.27,0
454,0.0,34.47,45.41,6.81,40.76,0
455,0.0,38.13,45.44,1.56,45.41,0
456,0.0,38.36,49.6,2.42,45.44,0
457,0.0,37.28,41.96,8.16,49.6,0
459,0.0,43.19,63.41,6.39,56.62,0
460,0.0,42.44,55.94,11.43,63.41,0
461,0.0,36.64,57.54,10.43,55.94,0
462,0.0,48.26,66.85,8.8,57.54,0
464,0.0,49.06,66.89,18.9,73.12,0
465,0.0,32.35,45.26,14.9,66.89,0
466,0.0,31.88,38.07,11.5,45.26,0
467,0.0,31.79,40.97,6.53,38.07,0
469,0.0,47.64,69.98,10.78,66.72,0
470,0.0,48.05,54.77,10.57,69.98,0
471,0.0,42.12,56.25,20.58,54.77,0
472,0.0,43.08,56.35,1.64,56.25,0
474,0.0,41.6,45.53,14.84,52.03,0
475,0.0,41.23,43.53,11.12,45.53,0
476,0.0,42.79,57.88,3.36,43.53,0
477,0.0,50.96,67.03,7.86,57.88,0
479,0.0,46.49,61.01,8.23,62.36,0
480,0.0,46.86,65.3,3.01,61.01,0
481,0.0,49.53,61.01,1.84,65.3,0
482,0.0,51.11,56.89,2.86,61.01,0
484,0.0,45.9,56.42,10.31,82.4,0
485,0.0,45.89,63.26,7.21,56.42,0
486,0.0,59.29,74.21,8.33,63.26,0
487,0.0,62.43,70.76,12.36,74.20999999999998,0
489,0.0,52.82,66.24,3.26,64.0,0
491,0.0,71.74,81.89,8.33,88.79999999999998,0
492,0.0,65.36,82.24,3.56,81.89,0
493,0.0,67.94,87.53,9.78,82.23999999999998,0
495,0.0,61.18,67.2,8.89,68.78,0
496,0.0,60.13,67.53,6.37,67.2,0
497,0.0,62.82,78.17,9.61,67.53,0
498,0.0,58.18,68.69,5.93,78.17,0
