Academic Year,College Name,Sector Group,Headcount,Amount
2014,SUNY ALBANY (UNDERGRAD),3-SUNY SO,348,"$973,300.95 "
2014,CLARKSON UNIVERSITY,5-INDEPENDENT,318,"$304,540.50 "
2014,RENSSELAER POLYTECHNIC INST,5-INDEPENDENT,313,"$298,721.00 "
2014,ST JOHNS UNIVERSITY,5-INDEPENDENT,297,"$592,039.25 "
2014,CORNELL UNIV STATUTORY COLLEGES,3-SUNY SO,296,"$315,032.00 "
2014,CUNY BARUCH COLLEGE,1-CUNY SR,295,"$226,279.79 "
2014,CUNY QUEENS COLLEGE,1-CUNY SR,273,"$382,114.25 "
2014,COLUMBIA UNIV,5-INDEPENDENT,273,"$556,879.98 "
2014,FORDHAM UNIVERSITY,5-INDEPENDENT,271,"$565,580.17 "
2014,CUNY BROOKLYN COLLEGE,1-CUNY SR,263,"$244,688.27 "
2014,SUC NEW PALTZ,3-SUNY SO,188,"$481,655.13 "
2014,SUC OSWEGO (UNDERGRAD),3-SUNY SO,184,"$397,684.65 "
2014,ITHACA COLLEGE,5-INDEPENDENT,177,"$201,326.00 "
2014,SUC BUFFALO,3-SUNY SO,175,"$390,071.44 "
2014,SUC BROCKPORT (UNDERGRAD),3-SUNY SO,168,"$299,896.67 "
2014,CUNY JOHN JAY COLLEGE,1-CUNY SR,161,"$255,308.84 "
2014,SUC EMPIRE STATE COLLEGE,3-SUNY SO,158,"$596,031.08 "
2014,SUC ONEONTA,3-SUNY SO,153,"$537,815.12 "
2014,HOFSTRA UNIVERSITY,5-INDEPENDENT,153,"$401,401.48 "
