business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,37.785643,-122.401192,"(37.785643, -122.401192)",,5268_20160815,8/15/16 0:00,87,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
70713,Uni's Deli,1200 VERMONT St,San Francisco,CA,94110,37.754258,-122.403535,"(37.754258, -122.403535)",,70713_20160503,5/3/16 0:00,90,Routine - Unscheduled,70713_20160503_103154,Unclean or degraded floors walls or ceilings,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/16 0:00,72,Routine - Unscheduled,59577_20160502_103156,Permit license or inspection report not posted,Low Risk
5960,ST. ANNE,1320 14th Ave,San Francisco,CA,94122,37.763403,-122.471582,"(37.763403, -122.471582)",,5960_20160506,5/6/16 0:00,92,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk
87551,NoodleMe,333 Market St,San Francisco,CA,94105,,,,,87551_20160713,7/13/16 0:00,,New Construction,,,
77840,Subway #61240,425 Battery St,San Francisco,CA,94111,,,,,77840_20160429,4/29/16 0:00,100,Routine - Unscheduled,,,
87821,Shin Dig,403 Irving St,San Francisco,CA,94122,,,,14155967495,87821_20160525,5/25/16 0:00,,New Construction,,,
76826,Wing Lee Bakery,503 Clement St,San Francisco,CA,94118,,,,,76826_20160518,5/18/16 0:00,79,Routine - Unscheduled,76826_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12/6/16 0:00,90,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk
2766,TAQUERIA GUADALAJARA,4798 MISSION,San Francisco,CA,94112,37.721191,-122.43755,"(37.721191, -122.43755)",14155552785,2766_20161021,10/21/16 0:00,,Reinspection/Followup,,,
5457,AT&T - (CART 39) DOGGIE DINER v [145126],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500,5457_20160814,8/14/16 0:00,96,Routine - Unscheduled,5457_20160814_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
63943,OMI Senior Center,65 Beverly St,San Francisco,CA,94132,37.717298,-122.471709,"(37.717298, -122.471709)",,63943_20160509,5/9/16 0:00,100,Routine - Unscheduled,,,
87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11/10/16 0:00,94,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk
69353,Aria,932 Larkin St,San Francisco,CA,94109,37.786565,-122.418116,"(37.786565, -122.418116)",,69353_20160907,9/7/16 0:00,86,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
58850,Woerner's Liquor,901 Geary St,San Francisco,CA,94109,37.786053,-122.418327,"(37.786053, -122.418327)",,58850_20160906,9/6/16 0:00,79,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk
32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.408562,"(37.776494, -122.408562)",14155718949,32586_20160906,9/6/16 0:00,96,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
2627,BURGERMEISTER,Church St,San Francisco,CA,94114,37.768776,-122.429095,"(37.768776, -122.429095)",14155432874,2627_20170105,1/5/17 0:00,86,Routine - Unscheduled,2627_20170105_103138,Improper storage use or identification of toxic substances,Low Risk
5523,AT&T Park - Coffee and Ice Cream (5A+5B),24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,,5523_20160814,8/14/16 0:00,,Non-inspection site visit,,,
80598,Jade Chocolates,4207 Geary Blvd,San Francisco,CA,94118,,,,14155938719,80598_20141202,12/2/14 0:00,,New Construction,,,
91934,"Keep It, Inc.",1170 Powell St,San Francisco,CA,94108,,,,,91934_20170928,9/28/17 0:00,94,Routine - Unscheduled,91934_20170928_103154,Unclean or degraded floors walls or ceilings,Low Risk
81845,Humphry Slocombe Ice Cream,173 Eddy St,San Francisco,CA,94102,,,,,81845_20161229,12/29/16 0:00,,Routine - Scheduled,81845_20161229_103154,Unclean or degraded floors walls or ceilings,Low Risk
4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523,"(37.765262, -122.41523)",14155867112,4907_20170105,1/5/17 0:00,80,Routine - Unscheduled,4907_20170105_103131,Moderate risk vermin infestation,Moderate Risk
40217,Pizzetta 211,211 23rd Ave,San Francisco,CA,94121,37.783758,-122.482885,"(37.783758, -122.482885)",,40217_20160502,5/2/16 0:00,88,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
1632,SWEET CHINITO,3100 MISSION St,San Francisco,CA,94110,37.748164,-122.418241,"(37.748164, -122.418241)",,1632_20160810,8/10/16 0:00,92,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,Moderate Risk
62277,tacos san buena,16th and shotwell St,San Francisco,CA,94102,37.779847,-122.418985,"(37.779847, -122.418985)",14155556127,62277_20160429,4/29/16 0:00,90,Routine - Unscheduled,62277_20160429_103148,No thermometers or uncalibrated thermometers,Low Risk
1833,Rogue Ales Public House,673 Union St,San Francisco,CA,94133,37.800254,-122.410447,"(37.800254, -122.410447)",,1833_20160413,4/13/16 0:00,78,Routine - Unscheduled,1833_20160413_103133,Foods not protected from contamination,Moderate Risk
13313,MV Solano,Pier 41,San Francisco,CA,94133,37.808494,-122.412,"(37.808494, -122.412)",,13313_20160518,5/18/16 0:00,100,Routine - Unscheduled,,,
69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,San Francisco,CA,94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,69282_20160413,4/13/16 0:00,76,Routine - Unscheduled,69282_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
18805,Terzo,3011 Steiner St,San Francisco,CA,94123,37.797144,-122.437224,"(37.797144, -122.437224)",,18805_20160607,6/7/16 0:00,94,Routine - Unscheduled,18805_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk
37882,First Cake,5901 GEARY Blvd,San Francisco,CA,94121,37.780087,-122.482596,"(37.780087, -122.482596)",,37882_20160413,4/13/16 0:00,,Reinspection/Followup,,,
77778,Thai Thai Noodle 2,1400 California St,San Francisco,CA,94109,,,,,77778_20160502,5/2/16 0:00,81,Routine - Unscheduled,77778_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
75259,The Battery - Prep Kitchen,717 Battery St Basement,San Francisco,CA,94111,,,,,75259_20160325,3/25/16 0:00,91,Routine - Unscheduled,75259_20160325_103105,Improper cooling methods,High Risk
3211,PHO HUYNH HIEP II,1833 IRVING St,San Francisco,CA,94122,37.763503,-122.477748,"(37.763503, -122.477748)",,3211_20160815,8/15/16 0:00,83,Routine - Unscheduled,3211_20160815_103133,Foods not protected from contamination,Moderate Risk
81509,The Flying Falafel,1051 Market St,San Francisco,CA,,,,,14158500984,81509_20161205,12/5/16 0:00,85,Routine - Unscheduled,81509_20161205_103157,Food safety certificate or food handler card not available,Low Risk
38798,K's Kitchen,757 Monterey Blvd,San Francisco,CA,94127,37.731503,-122.45237,"(37.731503, -122.45237)",,38798_20160518,5/18/16 0:00,90,Routine - Unscheduled,38798_20160518_103145,Improper storage of equipment utensils or linens,Low Risk
3253,S F GOLF CLUB,1310 Junipero Serra Blvd,San Francisco,CA,94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,3253_20160413,4/13/16 0:00,88,Routine - Unscheduled,3253_20160413_103132,Improper thawing methods,Moderate Risk
1977,BURMA SUPERSTAR RESTAURANT,309 CLEMENT St,San Francisco,CA,94118,37.783004,-122.462539,"(37.783004, -122.462539)",,1977_20160328,3/28/16 0:00,87,Routine - Unscheduled,1977_20160328_103105,Improper cooling methods,High Risk
77564,New Cheung Hing Restaurant LLC.,2339 Noriega St,San Francisco,CA,94122,,,,14155815528,77564_20160503,5/3/16 0:00,73,Routine - Unscheduled,77564_20160503_103109,Unclean or unsanitary food contact surfaces,High Risk
486,Tommaso,1042 Kearny St,San Francisco,CA,94133,37.797398,-122.405322,"(37.797398, -122.405322)",,486_20160812,8/12/16 0:00,,Reinspection/Followup,,,
36673,Mid City Market,868 Geary St,San Francisco,CA,94109,37.786197,-122.417614,"(37.786197, -122.417614)",,36673_20160901,9/1/16 0:00,79,Routine - Unscheduled,36673_20160901_103161,Low risk vermin infestation,Low Risk
18728,Fat Belli Deli,2598 San Bruno Ave,San Francisco,CA,94134,37.728947,-122.404201,"(37.728947, -122.404201)",,18728_20160812,8/12/16 0:00,76,Routine - Unscheduled,18728_20160812_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
69762,Chili House Inc.,726 Clement St,San Francisco,CA,94118,,,,,69762_20160413,4/13/16 0:00,68,Routine - Unscheduled,69762_20160413_103144,Unapproved or unmaintained equipment or utensils,Low Risk
68295,Walgreens #4680,730 Market St,San Francisco,CA,94102,37.787096,-122.404274,"(37.787096, -122.404274)",,68295_20160928,9/28/16 0:00,96,Routine - Unscheduled,68295_20160928_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
5875,THURGOOD MARSHALL HIGH SCHOOL,45 CONKLING St,San Francisco,CA,94124,,,,14155695611,5875_20160906,9/6/16 0:00,92,Routine - Unscheduled,5875_20160906_103131,Moderate risk vermin infestation,Moderate Risk
18826,Fresca Restaurant,2114 FILLMORE St,San Francisco,CA,94115,37.789074,-122.433783,"(37.789074, -122.433783)",14155442668,18826_20160926,9/26/16 0:00,83,Routine - Unscheduled,18826_20160926_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
73889,Khan Toke Thai House,5937 Geary Blvd,San Francisco,CA,94121,,,,14155666654,73889_20160322,3/22/16 0:00,68,Routine - Unscheduled,73889_20160322_103132,Improper thawing methods,Moderate Risk
108,Rue Lepic,900 Pine St,San Francisco,CA,94108,37.790868,-122.410854,"(37.790868, -122.410854)",,108_20150417,4/17/15 0:00,94,Routine - Unscheduled,108_20150417_103133,Foods not protected from contamination,Moderate Risk
108,Rue Lepic,900 Pine St,San Francisco,CA,94108,37.790868,-122.410854,"(37.790868, -122.410854)",,108_20150417,4/17/15 0:00,94,Routine - Unscheduled,108_20150417_103144,Unapproved or unmaintained equipment or utensils,Low Risk
